Strain_name|origin_geographic_area|origin_locality|origin_habitat|origin_sample_date|temperature|ph|salinity|salinity_unit|latitude|longitude|depth|
>IRI54a|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2273|
>E10p8|Mid-atlantic-ridge|Menez-Gwen|Hydrothermal-chimney|18/06/2001|85|7|20|g/L-NaCl|||806|
>E14p21|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E7p13|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|09/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2304|
>EXT16c|East-pacific-ridge|EPR-9°N|Hydrothermal-invertebrate|21/10/2001|85|6,8|23|g/L-NaCl|9°0'0"N|||
>MC8|Saint-Paul||Hot-spring||80|6,4|30|g/L-NaCl|||0|
>IRI25c|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|16/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2274|
>AMTc67|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|12/06/1999|85|6,8|23|g/L-NaCl|12°45'0"N|103°59'0"W||
>E14p17|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>AMTc29|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-invertebrate|06/06/1999|85|6,8|23|g/L-NaCl|12°48'12"N|103°56'20"W|2628|
>IRI35c2|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|18/06/2001|85|6,8|23|g/L-NaCl|||806|
>E10p14|Mid-atlantic-ridge|Menez-Gwen|Hydrothermal-chimney|18/06/2001|85|7|20|g/L-NaCl|||806|
>AMTc95|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|05/06/1999|85|6,8|23|g/L-NaCl|12°50'21"N|103°56'54"W|2633|
>IRI42c|Mid-atlantic-ridge|Menez-Gwen|Hydrothermal-chimney|08/06/2001|85|6,8|23|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>E14p22|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E1d1|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>AMTc07|Oriental-pacific-ridge|EPR-13°N|Hydrothermal-chimney|30/05/1999|85|6,8|23|g/L-NaCl|12°49'51"N|103°56'49"W|2628|
>E15d13|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>E2p16|Mid-atlantic-ridge|Rainbow|Hydrothermal-chimney|08/06/2001|85|7|20|g/L-NaCl|36°14'4"N|33°56'18"W|2301|
>E14p16|East-pacific-ridge|EPR-9°N|Hydrothermal-source|29/10/2001|85|7|20|g/L-NaCl|9°0'0"N|||
>GE06|||Hydrothermal-fluid||85|7|2,5|%-NaCl|||2600|
